,city
1007,UK-04/UA-04
1008,UK-05/UA-05
1009,UK-06/UA-06
1010,UK-07/UA-07
1011,UK-08/UA-08
1012,UK-09/UA-09
1013,UK-10/UA-10
1014,UK-11/UA-11
1015,UK-12/UA-12
1016,UK-13/UA-13
1017,UK-18
1018,UP-11
1019,UP-12
1020,UP-13
1021,UP-14
1022,UP-15
1023,UP-16
1024,UP-17
1025,UP-20
1026,UP-21
1027,UP-22
1028,UP-23
1029,UP-24
1030,UP-25
1031,UP-26
1032,UP-27
1033,UP-28
1034,UP-30
1035,UP-31
1036,UP-32
1037,UP-33
1038,UP-34
1039,UP-35
1040,UP-37
1041,UP-40
1042,UP-41
1043,UP-42
1044,UP-43
1045,UP-44
1046,UP-45
1047,UP-46
1048,UP-47
1049,UP-50
1050,UP-51
1051,UP-52
1052,UP-53
1053,UP-54
1054,UP-55
1055,UP-56
1056,UP-57
1057,UP-58
1058,UP-60
1059,UP-61
1060,UP-62
1061,UP-63
1062,UP-64
1063,UP-65
1064,UP-66
1065,UP-67
1066,UP-70
1067,UP-71
1068,UP-72
1069,UP-73
1070,UP-74
1071,UP-75
1072,UP-76
1073,UP-77
1074,UP-78
1075,UP-79
1076,UP-80
1077,UP-81
1078,UP-82
1079,UP-83
1080,UP-84
1081,UP-85
1082,UP-86
1083,UP-87
1084,UP-90
1085,UP-91
1086,UP-92
1087,UP-93
1088,UP-94
1089,UP-95
1090,UP-96
1091,WB-01
1092,WB-02
1093,WB-03
1094,WB-04
1095,WB-05
1096,WB-06
1097,WB-07
1098,WB-08
1099,WB-09
1100,WB-10
1101,WB-11
1102,WB-12
1103,WB-13
1104,WB-14
1105,WB-15
1106,WB-16
1107,WB-17
1108,WB-18
1109,WB-19
1110,WB-20
1111,WB-21
1112,WB-22
1113,WB-23
1114,WB-24
1115,WB-25
1116,WB-26
1117,WB-27
1118,WB-28
1119,WB-29
1120,WB-30
1121,WB-31
1122,WB-32
1123,WB-33
1124,WB-34
1125,WB-35
1126,WB-36
1127,WB-37
1128,WB-38
1129,WB-39
1130,WB-40
1131,WB-41
1132,WB-42
1133,WB-43
1134,WB-44
1135,WB-45
1136,WB-46
1137,WB-47
1138,WB-48
1139,WB-49
1140,WB-50
1141,WB-51
1142,WB-52
1143,WB-53
1144,WB-54
1145,WB-55
1146,WB-56
1147,WB-57
1148,WB-58
1149,WB-59
1150,WB-60
